Board State ,EVAL
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1,[%eval 0.32]
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2,[%eval 0.43]
rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,[%eval 0.01]
rnbqkbnr/1p1ppppp/p7/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,[%eval 0.28]
rnbqkbnr/1p1ppppp/p7/2p4Q/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq - 1 3,[%eval -0.66]
rnbqkbnr/1p1p1ppp/p3p3/2p4Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 0 4,[%eval -0.77]
rnbqkbnr/1p1p1ppp/p3p3/2p4Q/2B1P3/5N2/PPPP1PPP/RNB1K2R b KQkq - 1 4,[%eval -0.98]
rnbqkbnr/3p1ppp/p3p3/1pp4Q/2B1P3/5N2/PPPP1PPP/RNB1K2R w KQkq b6 0 5,[%eval -0.35]
rnbqkbnr/3p1ppp/p3p3/1pp4Q/4P3/5N2/PPPPBPPP/RNB1K2R b KQkq - 1 5,[%eval -0.22]
rn1qkbnr/1b1p1ppp/p3p3/1pp4Q/4P3/5N2/PPPPBPPP/RNB1K2R w KQkq - 2 6,[%eval -0.36]
rn1qkbnr/1b1p1ppp/p3p3/1pp1N2Q/4P3/8/PPPPBPPP/RNB1K2R b KQkq - 3 6,[%eval -1.0]
rn2kbnr/1b1p1ppp/p3pq2/1pp1N2Q/4P3/8/PPPPBPPP/RNB1K2R w KQkq - 4 7,[%eval -0.76]
rn2kbnr/1b1p1ppp/p3pq2/1pp4Q/4P1N1/8/PPPPBPPP/RNB1K2R b KQkq - 5 7,[%eval -0.87]
rn2kbnr/1b1pqppp/p3p3/1pp4Q/4P1N1/8/PPPPBPPP/RNB1K2R w KQkq - 6 8,[%eval -0.16]
rn2kbnr/1b1pqppp/p3p3/1pp4Q/4P1N1/3P4/PPP1BPPP/RNB1K2R b KQkq - 0 8,[%eval -0.09]
rn2kb1r/1b1pqppp/p3pn2/1pp4Q/4P1N1/3P4/PPP1BPPP/RNB1K2R w KQkq - 1 9,[%eval -0.2]
rn2kb1r/1b1pqppp/p3pN2/1pp4Q/4P3/3P4/PPP1BPPP/RNB1K2R b KQkq - 0 9,[%eval -0.12]
rn2kb1r/1b1p1ppp/p3pq2/1pp4Q/4P3/3P4/PPP1BPPP/RNB1K2R w KQkq - 0 10,[%eval -0.11]
rn2kb1r/1b1p1ppp/p3pq2/1pp4Q/4P3/3P4/PPP1BPPP/RNB2RK1 b kq - 1 10,[%eval -0.25]
rn2k2r/1b1p1ppp/p2bpq2/1pp4Q/4P3/3P4/PPP1BPPP/RNB2RK1 w kq - 2 11,[%eval 0.33]
rn2k2r/1b1p1ppp/p2bpq2/1pp4Q/4PP2/3P4/PPP1B1PP/RNB2RK1 b kq f3 0 11,[%eval 0.29]
rn2k2r/1b1p1ppp/p2b1q2/1pp1p2Q/4PP2/3P4/PPP1B1PP/RNB2RK1 w kq - 0 12,[%eval 1.26]
rn2k2r/1b1p1ppp/p2b1q2/1pp1P2Q/4P3/3P4/PPP1B1PP/RNB2RK1 b kq - 0 12,[%eval 1.29]
rn2k2r/1b1p1ppp/p2b4/1pp1q2Q/4P3/3P4/PPP1B1PP/RNB2RK1 w kq - 0 13,[%eval 1.32]
rn2k2r/1b1p1Qpp/p2b4/1pp1q3/4P3/3P4/PPP1B1PP/RNB2RK1 b kq - 0 13,[%eval 1.23]
rn1k3r/1b1p1Qpp/p2b4/1pp1q3/4P3/3P4/PPP1B1PP/RNB2RK1 w - - 1 14,[%eval 1.71]
rn1k3r/1b1p1Qpp/p2b4/1pp1q1B1/4P3/3P4/PPP1B1PP/RN3RK1 b - - 2 14,[%eval -2.56]
rn5r/1bkp1Qpp/p2b4/1pp1q1B1/4P3/3P4/PPP1B1PP/RN3RK1 w - - 3 15,[%eval 1.34]
rn5r/1bkp1Qpp/p2b4/1pp1q3/4PB2/3P4/PPP1B1PP/RN3RK1 b - - 4 15,[%eval 1.41]
rn5r/1bkp1Qpp/p2b4/1pp5/4PB2/3P4/PqP1B1PP/RN3RK1 w - - 0 16,[%eval 1.28]
rn5r/1bkp1Qpp/p2B4/1pp5/4P3/3P4/PqP1B1PP/RN3RK1 b - - 0 16,[%eval 1.27]
rn5r/1b1p1Qpp/p2k4/1pp5/4P3/3P4/PqP1B1PP/RN3RK1 w - - 0 17,[%eval 1.21]
rn5r/1b1p2pp/p2k4/1pp5/4PQ2/3P4/PqP1B1PP/RN3RK1 b - - 1 17,[%eval 1.0]
rn5r/1b1p2pp/p1k5/1pp5/4PQ2/3P4/PqP1B1PP/RN3RK1 w - - 2 18,[%eval 1.72]
rn5r/1b1p2pp/p1k5/1pp5/4PQ2/3P4/PqPNB1PP/R4RK1 b - - 3 18,[%eval 1.73]
rn5r/1b1p2pp/p1k5/1pp5/4PQ2/3P4/P1qNB1PP/R4RK1 w - - 0 19,[%eval 5.42]
rn5r/1b1p2pp/p1k5/1pp5/4PQ2/3P1B2/P1qN2PP/R4RK1 b - - 1 19,[%eval 3.51]
rn5r/1b1p2pp/p1k5/1pp5/4PQ2/3q1B2/P2N2PP/R4RK1 w - - 0 20,[%eval 5.4]
rn5r/1b1p2pp/p1k5/1pp1P3/5Q2/3q1B2/P2N2PP/R4RK1 b - - 0 20,[%eval 2.63]
rn5r/1b1p2pp/pk6/1pp1P3/5Q2/3q1B2/P2N2PP/R4RK1 w - - 1 21,[%eval 2.67]
rn5r/1B1p2pp/pk6/1pp1P3/5Q2/3q4/P2N2PP/R4RK1 b - - 0 21,[%eval 2.35]
rn5r/1k1p2pp/p7/1pp1P3/5Q2/3q4/P2N2PP/R4RK1 w - - 0 22,[%eval 2.16]
rn5r/1k1p2pp/p7/1pp1P3/4NQ2/3q4/P5PP/R4RK1 b - - 1 22,[%eval 0.72]
rn5r/1k1p2pp/p7/1pp1P3/3qNQ2/8/P5PP/R4RK1 w - - 2 23,[%eval 0.35]
rn5r/1k1p2pp/p7/1pp1P3/3qNQ2/8/P5PP/R4R1K b - - 3 23,[%eval 0.49]
r6r/1k1p2pp/p1n5/1pp1P3/3qNQ2/8/P5PP/R4R1K w - - 4 24,[%eval 0.44]
r6r/1k1p2pp/p1n5/1pp1P3/3qNQ2/8/P5PP/3R1R1K b - - 5 24,[%eval 0.76]
r6r/1k1p2pp/p1n5/1pp1q3/4NQ2/8/P5PP/3R1R1K w - - 0 25,[%eval 2.31]
r6r/1k1R2pp/p1n5/1pp1q3/4NQ2/8/P5PP/5R1K b - - 0 25,[%eval -1.82]
r6r/3R2pp/pkn5/1pp1q3/4NQ2/8/P5PP/5R1K w - - 1 26,[%eval -1.73]
r6r/3R1Qpp/pkn5/1pp1q3/4N3/8/P5PP/5R1K b - - 2 26,[%eval -6.29]
r6r/3R1Qpp/pkn5/1pp5/4q3/8/P5PP/5R1K w - - 0 27,[%eval -0.39]
r6r/1R3Qpp/pkn5/1pp5/4q3/8/P5PP/5R1K b - - 1 27,[%eval -0.52]
r6r/1R3Qpp/p1n5/kpp5/4q3/8/P5PP/5R1K w - - 2 28,[%eval -0.27]
r6r/1R4pp/p1n5/kpp5/4q3/1Q6/P5PP/5R1K b - - 3 28,[%eval -4.7]
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1,[%eval 0.19]
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2,[%eval 0.29]
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,[%eval 0.18]
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,[%eval 0.28]
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3,[%eval 0.07]
